week,posteam,noruns,nopass,noplays,touchdown,yards_gained,touchdown_rush,yards_rushing,epa
10,WAS,26,0,26,3,89,3,89,1.31775793171255
11,ARI,18,0,18,1,57,1,57,-2.23697863952839
11,ATL,14,0,14,0,52,0,52,-2.82266093004728
11,BAL,33,0,33,1,129,1,129,0.745038268582512
11,CAR,34,0,34,1,116,1,116,-3.99086178618018
11,CIN,18,0,18,0,70,0,70,-4.16510719468351
11,CLE,40,0,40,1,137,1,137,-13.2293389024495
11,DAL,31,0,31,1,180,1,180,5.68850526516326
11,DEN,33,0,33,2,189,2,189,-4.14725187814219
11,DET,17,0,17,0,40,0,40,-9.39899817173136
11,GNB,18,0,18,1,66,1,66,-4.21491120109567
11,HOU,19,0,19,1,55,1,55,-4.18958369389293
11,IND,37,0,37,0,140,0,140,-2.65077819235207
11,JAC,17,0,17,0,73,0,73,1.57862590570585
11,KAN,27,0,27,3,108,3,108,1.97025413223309
11,LAC,26,0,26,0,29,0,29,-8.02137347287498
11,LAR,20,0,20,0,37,0,37,-8.97252633042272
11,LVR,26,0,26,1,89,1,89,-2.7543824716995
11,MIA,17,0,17,0,56,0,56,-1.62576504647687
11,MIN,29,0,29,1,125,1,125,2.7197765140445
11,NOR,36,0,36,3,166,3,166,0.574712229747092
11,NWE,24,0,24,1,86,1,86,-0.377098754688632
11,NYJ,24,0,24,2,96,2,96,-0.686598474509083
11,PHI,25,0,25,0,106,0,106,-5.92742704076227
11,PIT,27,0,27,1,106,1,106,-4.23330585932126
11,SEA,31,0,31,1,165,1,165,2.51066762686241
11,TAM,18,0,18,1,42,1,42,-3.87534099182813
11,TEN,34,0,34,1,173,1,173,-1.50066402400262
11,WAS,34,0,34,1,164,1,164,-0.0651636969312546
12,ARI,34,0,34,2,138,2,138,-2.43634223868305
12,ATL,32,0,32,1,125,1,125,-2.40290733311657
12,BAL,28,0,28,1,129,1,129,-3.73217112419661
12,BUF,30,0,30,1,172,1,172,-4.45481409371132
12,CAR,28,0,28,0,107,0,107,-1.26156075664471
12,CHI,16,0,16,0,121,0,121,4.87069345155032
12,CIN,15,0,15,0,40,0,40,0.221236924349796
12,CLE,33,0,33,1,207,1,207,5.29652302974137
12,DAL,18,0,18,0,60,0,60,-5.22869635454845
12,DEN,33,0,33,0,100,0,100,-19.0485629176234
12,DET,29,0,29,2,109,2,109,-12.7603572098888
12,GNB,39,0,39,1,182,1,182,3.89623687893618
12,HOU,23,0,23,0,77,0,77,-7.17388083500555
12,IND,21,0,21,2,56,2,56,0.312272580020363
12,JAC,25,0,25,1,140,1,140,5.55657628446352
12,KAN,20,0,20,0,87,0,87,-3.40837228199234
12,LAC,24,0,24,1,76,1,76,-11.4666737059935
12,LAR,28,0,28,1,126,1,126,-7.41734407207696
12,LVR,14,0,14,0,40,0,40,-12.1342642296222
12,MIA,25,0,25,0,104,0,104,-13.9943999614334
12,MIN,24,0,24,1,96,0,96,-6.96279819286048
12,NOR,44,0,44,4,229,4,229,11.2535219695419
12,NWE,30,0,30,2,110,2,110,0.404279965965543
12,NYG,42,0,42,1,142,1,142,-1.08076398850275
12,NYJ,23,0,23,0,87,0,87,-6.24677221255843
12,PHI,14,0,14,0,70,0,70,1.21136387440492
12,PIT,20,0,20,0,68,0,68,-3.69500169015373
12,SEA,30,0,30,1,76,1,76,-2.53242946441957
12,SFO,33,0,33,2,112,1,112,-17.2095802147524
12,TAM,13,0,13,0,75,0,75,0.77165876084473
12,TEN,45,0,45,4,229,4,229,7.18010598889669
12,WAS,36,0,36,3,182,3,182,7.48339555514394
13,ARI,21,0,21,1,92,1,92,0.166757651313674
13,ATL,21,0,21,0,70,0,70,-1.98059084778652
13,BAL,37,0,37,2,294,2,294,19.2813411030802
13,BUF,27,0,27,0,81,0,81,-11.017047237521
13,CHI,31,0,31,3,140,3,140,-0.292252412402738
13,CIN,17,0,17,0,40,0,40,-0.952699711255264
13,CLE,36,0,36,1,118,1,118,-9.56506814746535
