Name,name1,Team,Oppt,week,Points_FD,Salary_FD,Points_DK,Salary_DK,Points_YH,Salary_YH,gsis_id,status,game_id,posteam,defteam,rusher_player_name,posteam_color,posteam_logo,defteam_color,defteam_logo,nrush,nrush_neg,rushing_yards_neg,rush_epa,rush_success,rushing_yards,rushing_touchdown,rushing_fumble,rushing_fumble_lost,qb_kneel,position,depth_chart_position,team,jersey_number,headshot_url,left-end,left-tackle,left-guard,middle,right-guard,right-tackle,right-end,rushing_yards_le,rushing_yards_lt,rushing_yards_lg,rushing_yards_mid,rushing_yards_rg,rushing_yards_rt,rushing_yards_re,receiver_player_name,ntargets,receptions,receiving_epa,receiving_success,receiving_yards,receiving_touchdown,receiving_fumble,receiving_fumble_lost,receiving_air_yards_comp,receiving_yards_after_catch,receiving_interception,check1,ntargets_c.0-5,ntargets_e.10-20,ntargets_a.<0,ntargets_d.5-10,ntargets_b.=0,ntargets_f.20+,ntargets_j.other,receptions_c.0-5,receptions_e.10-20,receptions_a.<0,receptions_d.5-10,receptions_b.=0,receptions_f.20+,receptions_j.other
"Armah, Alex",Al.Armah,CAR,LVR,1,0.1,4500,0.1,4000,0.1,10,00-0033296,Active,2020_01_LV_CAR,CAR,LVR,A.Armah,#0085ca,https://upload.wikimedia.org/wikipedia/en/thumb/1/1c/Carolina_Panthers_logo.svg/100px-Carolina_Panthers_logo.svg.png,#a5acaf,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Las_Vegas_Raiders_logo.svg/100px-Las_Vegas_Raiders_logo.svg.png,2,1,0,-1.95826971053611,1,1,0,0,0,0,FB,FB,CAR,40,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4212884.png,0,0,0,2,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Armah, Alex",Al.Armah,CAR,ATL,5,0.2,4600,0.2,4000,0.2,10,00-0033296,Active,2020_05_CAR_ATL,CAR,ATL,A.Armah,#0085ca,https://upload.wikimedia.org/wikipedia/en/thumb/1/1c/Carolina_Panthers_logo.svg/100px-Carolina_Panthers_logo.svg.png,#a71930,https://upload.wikimedia.org/wikipedia/en/thumb/c/c5/Atlanta_Falcons_logo.svg/192px-Atlanta_Falcons_logo.svg.png,1,0,0,-0.309294690057868,0,2,0,0,0,0,FB,FB,CAR,40,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4212884.png,0,0,1,0,0,0,0,0,0,2,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Armah, Alex",Al.Armah,CAR,NOR,7,0.1,4500,0.1,4000,0.1,10,00-0033296,Active,2020_07_CAR_NO,CAR,NOR,A.Armah,#0085ca,https://upload.wikimedia.org/wikipedia/en/thumb/1/1c/Carolina_Panthers_logo.svg/100px-Carolina_Panthers_logo.svg.png,#9f8958,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/New_Orleans_Saints_logo.svg/98px-New_Orleans_Saints_logo.svg.png,1,0,0,0.654600453563035,1,1,0,0,0,0,FB,FB,CAR,40,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4212884.png,0,0,1,0,0,0,0,0,0,1,0,0,0,0,A.Armah,1,0,-0.548982094042003,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Armah, Alex",Al.Armah,CAR,WAS,16,0.3,4700,0.3,4000,0.3,10,00-0033296,Active,2020_16_CAR_WAS,CAR,WAS,A.Armah,#0085ca,https://upload.wikimedia.org/wikipedia/en/thumb/1/1c/Carolina_Panthers_logo.svg/100px-Carolina_Panthers_logo.svg.png,#773141,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Washington_football_team_wlogo.svg/100px-Washington_football_team_wlogo.svg.png,1,0,0,0.554620764683932,1,3,0,0,0,0,FB,FB,CAR,40,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4212884.png,0,0,0,0,1,0,0,0,0,0,0,3,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ballage, Kalen",Ka.Ballage,LAC,ATL,14,2.5,5000,3,4000,2.5,10,00-0034799,Active,2020_14_ATL_LAC,LAC,ATL,K.Ballage,#002244,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/NFL_Chargers_logo.svg/100px-NFL_Chargers_logo.svg.png,#a71930,https://upload.wikimedia.org/wikipedia/en/thumb/c/c5/Atlanta_Falcons_logo.svg/192px-Atlanta_Falcons_logo.svg.png,7,2,-1,-2.66565767302372,1,14,0,1,0,0,RB,,LAC,31,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3128774.png,0,0,1,3,0,1,1,0,0,4,7,0,1,3,K.Ballage,2,1,-0.00514008046593517,1,6,0,0,0,3,3,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
"Ballage, Kalen",Ka.Ballage,LAC,DEN,16,3.6,5000,4.6,4000,3.6,12,00-0034799,Active,2020_16_DEN_LAC,LAC,DEN,K.Ballage,#002244,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/NFL_Chargers_logo.svg/100px-NFL_Chargers_logo.svg.png,#002244,https://upload.wikimedia.org/wikipedia/en/thumb/4/44/Denver_Broncos_logo.svg/100px-Denver_Broncos_logo.svg.png,4,0,0,-0.884624978760257,1,14,0,0,0,0,RB,,LAC,31,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3128774.png,0,0,0,1,1,1,1,0,0,0,4,2,5,3,K.Ballage,3,2,-0.0650644610868767,1,12,0,0,0,-3,15,0,0,1,0,2,0,0,0,0,1,0,1,0,0,0,0
"Ballage, Kalen",Ka.Ballage,LAC,NWE,13,5.4,5100,6.9,4000,5.4,13,00-0034799,Active,2020_13_NE_LAC,LAC,NWE,K.Ballage,#002244,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/NFL_Chargers_logo.svg/100px-NFL_Chargers_logo.svg.png,#002244,https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/New_England_Patriots_logo.svg/100px-New_England_Patriots_logo.svg.png,7,1,-1,2.45866990933428,5,34,0,0,0,0,RB,,LAC,31,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3128774.png,1,0,0,2,1,1,2,6,0,0,8,8,6,6,K.Ballage,4,3,-2.96256820275448,0,5,0,0,0,-8,13,0,0,1,0,3,0,0,0,0,0,0,3,0,0,0,0
"Ballage, Kalen",Ka.Ballage,LAC,NYJ,11,10.6,5800,14.1,5600,10.6,16,00-0034799,Active,2020_11_NYJ_LAC,LAC,NYJ,K.Ballage,#002244,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/NFL_Chargers_logo.svg/100px-NFL_Chargers_logo.svg.png,#203731,https://upload.wikimedia.org/wikipedia/en/thumb/6/6b/New_York_Jets_logo.svg/100px-New_York_Jets_logo.svg.png,16,3,-10,-4.52703742892481,3,44,0,0,0,0,RB,,LAC,31,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3128774.png,5,1,1,6,1,0,2,23,9,-3,9,1,0,5,K.Ballage,9,7,-2.84545287856599,2,27,0,0,0,-4,31,0,0,5,0,4,0,0,0,0,4,0,3,0,0,0,0
"Ballage, Kalen",Ka.Ballage,LAC,KAN,17,9.6,5300,9.6,4000,9.6,11,00-0034799,Active,2020_17_LAC_KC,LAC,KAN,K.Ballage,#002244,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/NFL_Chargers_logo.svg/100px-NFL_Chargers_logo.svg.png,#e31837,https://upload.wikimedia.org/wikipedia/en/thumb/e/e1/Kansas_City_Chiefs_logo.svg/100px-Kansas_City_Chiefs_logo.svg.png,13,2,-2,-0.480228345608339,5,36,1,0,0,0,RB,,LAC,31,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3128774.png,3,0,3,2,0,0,5,12,0,9,1,0,0,14,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ballage, Kalen",Ka.Ballage,LAC,LVR,15,7.1,4900,7.1,4000,7.1,16,00-0034799,Active,2020_15_LAC_LV,LAC,LVR,K.Ballage,#002244,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/NFL_Chargers_logo.svg/100px-NFL_Chargers_logo.svg.png,#a5acaf,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Las_Vegas_Raiders_logo.svg/100px-Las_Vegas_Raiders_logo.svg.png,8,3,-8,-3.5596740427136,4,11,1,0,0,0,RB,,LAC,31,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3128774.png,0,0,1,2,2,1,2,0,0,2,5,7,0,-3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
