"game_id","vis_team","home_team","vis_score","home_score","OT","Roof","Surface","Temperature","Humidity","Wind_Speed","Vegas_Line","Vegas_Favorite","Over_Under","game_date.x","season","game_date.y","player_id","pos","player","team","pass_cmp","pass_att","pass_yds","pass_td","pass_int","pass_sacked","pass_sacked_yds","pass_long","pass_rating","rush_att","rush_yds","rush_td","rush_long","targets","rec","rec_yds","rec_td","rec_long","fumbles_lost","rush_scrambles","designed_rush_att","comb_pass_rush_play","comb_pass_play","comb_rush_play","Team_abbrev","Opponent_abbrev","two_point_conv","total_ret_td","offensive_fumble_recovery_td","pass_yds_bonus","rush_yds_bonus","rec_yds_bonus","Total_DKP","Off_DKP","Total_FDP","Off_FDP","pass_target_yds","pass_poor_throws","pass_blitzed","pass_hurried","rush_yds_before_contact","rush_yac","rush_broken_tackles","rec_air_yds","rec_yac","rec_drops","offense","off_pct","last_300_median_DKP","last_300_median_FDP","last_600_median_DKP","last_600_median_FDP"
"202009130atl","SEA","ATL",38,25,"False","retractable roof (closed)","fieldturf",72,45,0,-1,"ATL","49.5",2020-09-13,2020,"2020-09-13","MetcDK00","WR","D.K. Metcalf","SEA",0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,95,1,38,0,0,0,0,0,0,"SEA","ATL",0,0,0,0,0,0,19.5,19.5,17.5,17.5,0,0,0,0,0,0,0,118.4,20,1,61,98,11.6,8.5,12.25,9.55
"202009130atl","SEA","ATL",38,25,"False","retractable roof (closed)","fieldturf",72,45,0,-1,"ATL","49.5",2020-09-13,2020,"2020-09-13","LockTy00","WR","Tyler Lockett","SEA",0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,92,0,20,0,0,0,0,0,0,"SEA","ATL",0,0,0,0,0,0,17.2,17.2,13.2,13.2,0,0,0,0,0,0,0,76.8,15,0,58,94,4.8,4.3,13.55,11.6
"202009130atl","SEA","ATL",38,25,"False","retractable roof (closed)","fieldturf",72,45,0,-1,"ATL","49.5",2020-09-13,2020,"2020-09-13","OlseGr00","TE","Greg Olsen","SEA",0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,24,1,9,0,0,0,0,0,0,"SEA","ATL",0,0,0,0,0,0,12.4,12.4,10.4,10.4,0,0,0,0,0,0,0,19.2,5,0,41,66,9.4,6.9,9.3,7.05
"202009130atl","SEA","ATL",38,25,"False","retractable roof (closed)","fieldturf",72,45,0,-1,"ATL","49.5",2020-09-13,2020,"2020-09-13","MoorDa03","WR","David Moore","SEA",0,0,0,0,0,0,0,0,0,1,12,0,12,3,3,28,0,18,0,0,1,1,0,1,"SEA","ATL",0,0,0,0,0,0,7,7,5.5,5.5,0,0,0,0,8,4,0,3,25,0,33,53,NA,NA,NA,NA
"202009130atl","SEA","ATL",38,25,"False","retractable roof (closed)","fieldturf",72,45,0,-1,"ATL","49.5",2020-09-13,2020,"2020-09-13","CarsCh00","RB","Chris Carson","SEA",0,0,0,0,0,0,0,0,0,6,21,0,11,6,6,45,2,19,0,0,6,6,0,6,"SEA","ATL",0,0,0,0,0,0,24.6,24.6,21.6,21.6,0,0,0,0,5,16,1,-7.2,52,0,28,45,12.1,10.6,17.3,12.3
"202009130atl","SEA","ATL",38,25,"False","retractable roof (closed)","fieldturf",72,45,0,-1,"ATL","49.5",2020-09-13,2020,"2020-09-13","DissWi00","TE","Will Dissly","SEA",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,8,0,5,0,0,0,0,0,0,"SEA","ATL",0,0,0,0,0,0,2.8,2.8,1.8,1.8,0,0,0,0,0,0,0,1,7,0,25,40,NA,NA,12.8,10.8
"202009130atl","SEA","ATL",38,25,"False","retractable roof (closed)","fieldturf",72,45,0,-1,"ATL","49.5",2020-09-13,2020,"2020-09-13","HydeCa00","RB","Carlos Hyde","SEA",0,0,0,0,0,0,0,0,0,7,23,1,9,0,0,0,0,0,0,0,7,7,0,7,"SEA","ATL",0,0,0,0,0,0,8.3,8.3,8.3,8.3,0,0,0,0,13,10,0,0,0,0,21,34,NA,NA,NA,NA
"202009130atl","SEA","ATL",38,25,"False","retractable roof (closed)","fieldturf",72,45,0,-1,"ATL","49.5",2020-09-13,2020,"2020-09-13","SwaiFr00","WR","Freddie Swain","SEA",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,17,0,17,0,0,0,0,0,0,"SEA","ATL",0,0,0,0,0,0,2.7,2.7,2.2,2.2,0,0,0,0,0,0,0,6,11,0,16,26,NA,NA,NA,NA
"202009130atl","SEA","ATL",38,25,"False","retractable roof (closed)","fieldturf",72,45,0,-1,"ATL","49.5",2020-09-13,2020,"2020-09-13","HomeTr00","RB","Travis Homer","SEA",0,0,0,0,0,0,0,0,0,3,-1,0,1,2,2,4,0,3,0,0,3,3,0,3,"SEA","ATL",0,0,0,0,0,0,2.3,2.3,1.3,1.3,0,0,0,0,-2,1,0,-4,8,0,13,21,NA,NA,NA,NA
"202009130atl","SEA","ATL",38,25,"False","retractable roof (closed)","fieldturf",72,45,0,-1,"ATL","49.5",2020-09-13,2020,"2020-09-13","HollJa03","TE","Jacob Hollister","SEA",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,0,9,0,0,0,0,0,0,"SEA","ATL",0,0,0,0,0,0,1.9,1.9,1.4,1.4,0,0,0,0,0,0,0,2,7,0,11,18,8.45,5.95,10.4,7.4
