Name,name1,Team,Oppt,week,Points_FD,Salary_FD,Points_DK,Salary_DK,Points_YH,Salary_YH,gsis_id,status,game_id,posteam,defteam,receiver_player_name,posteam_color,posteam_logo,defteam_color,defteam_logo,ntargets,receptions,receiving_epa,receiving_success,receiving_yards,receiving_touchdown,receiving_fumble,receiving_fumble_lost,receiving_air_yards_comp,receiving_yards_after_catch,receiving_interception,check1,position,depth_chart_position,team,jersey_number,headshot_url,ntargets_c.0-5,ntargets_e.10-20,ntargets_a.<0,ntargets_d.5-10,ntargets_b.=0,ntargets_f.20+,ntargets_j.other,receptions_c.0-5,receptions_e.10-20,receptions_a.<0,receptions_d.5-10,receptions_b.=0,receptions_f.20+,receptions_j.other,rusher_player_name,nrush,nrush_neg,rushing_yards_neg,rush_epa,rush_success,rushing_yards,rushing_touchdown,rushing_fumble,rushing_fumble_lost,qb_kneel,left-end,left-tackle,left-guard,middle,right-guard,right-tackle,right-end,rushing_yards_le,rushing_yards_lt,rushing_yards_lg,rushing_yards_mid,rushing_yards_rg,rushing_yards_rt,rushing_yards_re
"Olszewski, Gunner",Gu.Olszewski,NWE,NYJ,9,2,4500,2.5,3000,2,10,00-0035645,Active,2020_09_NE_NYJ,NWE,NYJ,G.Olszewski,#002244,https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/New_England_Patriots_logo.svg/100px-New_England_Patriots_logo.svg.png,#203731,https://upload.wikimedia.org/wikipedia/en/thumb/6/6b/New_York_Jets_logo.svg/100px-New_York_Jets_logo.svg.png,1,1,-0.79852443485288,0,-1,0,0,0,-4,3,0,0,WR,RWR,NWE,80,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4424106.png,0,0,1,0,0,0,0,0,0,1,0,0,0,0,G.Olszewski,3,0,0,-0.12572740559699,1,16,0,0,0,0,1,0,0,0,0,0,2,12,0,0,0,0,0,4
"Parker, DeVante",De.Parker,MIA,BUF,2,13.8,6500,16.3,5900,13.8,18,00-0031547,Active,2020_02_BUF_MIA,MIA,BUF,D.Parker,#008e97,https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Miami_Dolphins_logo.svg/100px-Miami_Dolphins_logo.svg.png,#00338d,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Buffalo_Bills_logo.svg/189px-Buffalo_Bills_logo.svg.png,8,5,2.82421105564572,5,53,1,0,0,41,12,0,0,WR,LWR,MIA,11,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576623.png,1,2,0,4,0,1,0,1,2,0,2,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parker, DeVante",De.Parker,MIA,CIN,13,5.5,6800,7.5,6400,5.5,23,00-0031547,Active,2020_13_CIN_MIA,MIA,CIN,D.Parker,#008e97,https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Miami_Dolphins_logo.svg/100px-Miami_Dolphins_logo.svg.png,#000000,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Cincinnati_Bengals_logo.svg/100px-Cincinnati_Bengals_logo.svg.png,8,4,-3.2751363977119,3,35,0,0,0,35,0,0,0,WR,LWR,MIA,11,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576623.png,4,2,0,2,0,0,0,1,1,0,2,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parker, DeVante",De.Parker,MIA,KAN,14,0,6500,0,6100,0,18,00-0031547,Active,2020_14_KC_MIA,MIA,KAN,D.Parker,#008e97,https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Miami_Dolphins_logo.svg/100px-Miami_Dolphins_logo.svg.png,#e31837,https://upload.wikimedia.org/wikipedia/en/thumb/e/e1/Kansas_City_Chiefs_logo.svg/100px-Kansas_City_Chiefs_logo.svg.png,2,0,-1.81523522749191,0,0,0,0,0,0,0,0,0,WR,LWR,MIA,11,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576623.png,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parker, DeVante",De.Parker,MIA,LAC,10,4.1,6000,5.1,5000,4.1,17,00-0031547,Active,2020_10_LAC_MIA,MIA,LAC,D.Parker,#008e97,https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Miami_Dolphins_logo.svg/100px-Miami_Dolphins_logo.svg.png,#002244,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/NFL_Chargers_logo.svg/100px-NFL_Chargers_logo.svg.png,7,2,-0.358903107175209,2,31,0,0,0,29,2,0,0,WR,LWR,MIA,11,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576623.png,1,3,0,2,0,1,0,0,0,0,1,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parker, DeVante",De.Parker,MIA,LAR,8,6.8,6100,7.3,5700,6.8,14,00-0031547,Active,2020_08_LA_MIA,MIA,LAR,D.Parker,#008e97,https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Miami_Dolphins_logo.svg/100px-Miami_Dolphins_logo.svg.png,#002244,https://upload.wikimedia.org/wikipedia/en/thumb/8/8a/Los_Angeles_Rams_logo.svg/100px-Los_Angeles_Rams_logo.svg.png,4,2,0.618048107717186,2,6,2,0,0,6,0,0,0,WR,LWR,MIA,11,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576623.png,1,0,1,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parker, DeVante",De.Parker,MIA,NYJ,6,5,6400,6.5,6300,5,18,00-0031547,Active,2020_06_NYJ_MIA,MIA,NYJ,D.Parker,#008e97,https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Miami_Dolphins_logo.svg/100px-Miami_Dolphins_logo.svg.png,#203731,https://upload.wikimedia.org/wikipedia/en/thumb/6/6b/New_York_Jets_logo.svg/100px-New_York_Jets_logo.svg.png,8,3,-3.27844495972386,3,35,0,0,0,25,10,0,0,WR,LWR,MIA,11,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576623.png,1,4,0,2,1,0,0,0,1,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parker, DeVante",De.Parker,MIA,SEA,4,16,6500,24,5700,16,21,00-0031547,Active,2020_04_SEA_MIA,MIA,SEA,D.Parker,#008e97,https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Miami_Dolphins_logo.svg/100px-Miami_Dolphins_logo.svg.png,#002244,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Seattle_Seahawks_logo.svg/100px-Seattle_Seahawks_logo.svg.png,12,10,5.94877525487785,9,110,0,0,0,74,36,0,0,WR,LWR,MIA,11,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576623.png,2,1,0,9,0,0,0,2,1,0,7,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parker, DeVante",De.Parker,MIA,ARI,9,9.4,6300,12.4,5200,9.4,17,00-0031547,Active,2020_09_MIA_ARI,MIA,ARI,D.Parker,#008e97,https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Miami_Dolphins_logo.svg/100px-Miami_Dolphins_logo.svg.png,#97233f,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Arizona_Cardinals_logo.svg/179px-Arizona_Cardinals_logo.svg.png,7,6,4.48963550460758,4,64,0,0,0,53,11,0,0,WR,LWR,MIA,11,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576623.png,3,3,0,0,0,1,0,3,3,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parker, DeVante",De.Parker,MIA,BUF,17,15.1,6100,21.6,5300,15.1,18,00-0031547,Active,2020_17_MIA_BUF,MIA,BUF,D.Parker,#008e97,https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Miami_Dolphins_logo.svg/100px-Miami_Dolphins_logo.svg.png,#00338d,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Buffalo_Bills_logo.svg/189px-Buffalo_Bills_logo.svg.png,14,7,-5.12496547189346,7,116,0,0,0,88,28,1,0,WR,LWR,MIA,11,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576623.png,4,2,0,6,0,2,0,1,0,0,4,0,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parker, DeVante",De.Parker,MIA,DEN,11,15.1,6200,18.1,5700,15.1,17,00-0031547,Active,2020_11_MIA_DEN,MIA,DEN,D.Parker,#008e97,https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Miami_Dolphins_logo.svg/100px-Miami_Dolphins_logo.svg.png,#002244,https://upload.wikimedia.org/wikipedia/en/thumb/4/44/Denver_Broncos_logo.svg/100px-Denver_Broncos_logo.svg.png,9,6,2.16725396650145,6,61,1,0,0,45,16,1,0,WR,LWR,MIA,11,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576623.png,3,3,0,3,0,0,0,2,1,0,3,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
