Name,name1,Team,Oppt,week,Points_FD,Salary_FD,Points_DK,Salary_DK,Points_YH,Salary_YH,gsis_id,status,game_id,posteam,defteam,receiver_player_name,posteam_color,posteam_logo,defteam_color,defteam_logo,ntargets,receptions,receiving_epa,receiving_success,receiving_yards,receiving_touchdown,receiving_fumble,receiving_fumble_lost,receiving_air_yards_comp,receiving_yards_after_catch,receiving_interception,check1,position,depth_chart_position,team,jersey_number,headshot_url,ntargets_c.0-5,ntargets_e.10-20,ntargets_a.<0,ntargets_d.5-10,ntargets_b.=0,ntargets_f.20+,ntargets_j.other,receptions_c.0-5,receptions_e.10-20,receptions_a.<0,receptions_d.5-10,receptions_b.=0,receptions_f.20+,receptions_j.other,rusher_player_name,nrush,nrush_neg,rushing_yards_neg,rush_epa,rush_success,rushing_yards,rushing_touchdown,rushing_fumble,rushing_fumble_lost,qb_kneel,left-end,left-tackle,left-guard,middle,right-guard,right-tackle,right-end,rushing_yards_le,rushing_yards_lt,rushing_yards_lg,rushing_yards_mid,rushing_yards_rg,rushing_yards_rt,rushing_yards_re
"Alie-Cox, Mo",Mo.Alie-Cox,IND,CLE,5,0,5400,0,4200,0,18,00-0033217,Active,2020_05_IND_CLE,IND,CLE,M.Alie-Cox,#002c5f,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png,#fb4f14,https://upload.wikimedia.org/wikipedia/en/thumb/d/d9/Cleveland_Browns_logo.svg/100px-Cleveland_Browns_logo.svg.png,1,0,-3.5332422114443,0,0,0,0,0,0,0,1,0,TE,RTE,IND,81,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2998565.png,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alie-Cox, Mo",Mo.Alie-Cox,IND,DET,8,5.2,5000,6.7,3400,5.2,10,00-0033217,Active,2020_08_IND_DET,IND,DET,M.Alie-Cox,#002c5f,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png,#005a8b,https://upload.wikimedia.org/wikipedia/en/thumb/7/71/Detroit_Lions_logo.svg/100px-Detroit_Lions_logo.svg.png,4,3,3.36401415604632,3,37,0,0,0,32,5,0,0,TE,RTE,IND,81,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2998565.png,1,2,1,0,0,0,0,1,2,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alie-Cox, Mo",Mo.Alie-Cox,IND,HOU,13,3.8,4800,5.3,2700,3.8,11,00-0033217,Active,2020_13_IND_HOU,IND,HOU,M.Alie-Cox,#002c5f,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png,#03202f,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/100px-Houston_Texans_logo.svg.png,5,3,0.118470944464207,2,23,0,0,0,6,17,0,0,TE,RTE,IND,81,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2998565.png,3,1,0,0,1,0,0,2,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alie-Cox, Mo",Mo.Alie-Cox,IND,JAC,1,3,4000,4,2600,3,10,00-0033217,Active,2020_01_IND_JAX,IND,JAC,M.Alie-Cox,#002c5f,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png,#000000,https://upload.wikimedia.org/wikipedia/en/thumb/7/74/Jacksonville_Jaguars_logo.svg/100px-Jacksonville_Jaguars_logo.svg.png,2,2,1.51441049948335,2,20,0,0,0,6,14,0,0,TE,RTE,IND,81,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2998565.png,2,0,0,0,0,0,0,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alie-Cox, Mo",Mo.Alie-Cox,IND,LVR,14,1.4,4600,1.9,2500,1.4,11,00-0033217,Active,2020_14_IND_LV,IND,LVR,M.Alie-Cox,#002c5f,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png,#a5acaf,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Las_Vegas_Raiders_logo.svg/100px-Las_Vegas_Raiders_logo.svg.png,1,1,0.560027216561139,1,9,0,0,0,-2,11,0,0,TE,RTE,IND,81,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2998565.png,0,0,1,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alie-Cox, Mo",Mo.Alie-Cox,IND,PIT,16,2.5,4400,3,2500,2.5,10,00-0033217,Active,2020_16_IND_PIT,IND,PIT,M.Alie-Cox,#002c5f,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png,#000000,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pittsburgh_Steelers_logo.svg/100px-Pittsburgh_Steelers_logo.svg.png,1,1,1.6742548563052,1,20,0,0,0,4,16,0,0,TE,RTE,IND,81,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2998565.png,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alie-Cox, Mo",Mo.Alie-Cox,IND,TEN,10,3.4,5000,4.9,3400,3.4,13,00-0033217,Active,2020_10_IND_TEN,IND,TEN,M.Alie-Cox,#002c5f,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png,#002244,https://raw.githubusercontent.com/guga31bb/nflfastR-data/master/titans.png,4,3,0.130368606303819,2,19,0,0,0,12,7,0,0,TE,RTE,IND,81,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2998565.png,3,0,0,0,1,0,0,3,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anderson, Stephen",St.Anderson,LAC,DEN,16,6.8,4000,8.8,2500,6.8,10,00-0032725,Active,2020_16_DEN_LAC,LAC,DEN,S.Anderson,#002244,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/NFL_Chargers_logo.svg/100px-NFL_Chargers_logo.svg.png,#002244,https://upload.wikimedia.org/wikipedia/en/thumb/4/44/Denver_Broncos_logo.svg/100px-Denver_Broncos_logo.svg.png,6,4,0.628876654081978,3,48,0,0,0,10,38,0,0,TE,TE,LAC,82,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576854.png,1,1,0,1,3,0,0,1,0,0,1,2,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anderson, Stephen",St.Anderson,LAC,NWE,13,1.1,4000,1.6,2500,1.1,10,00-0032725,Active,2020_13_NE_LAC,LAC,NWE,S.Anderson,#002244,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/NFL_Chargers_logo.svg/100px-NFL_Chargers_logo.svg.png,#002244,https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/New_England_Patriots_logo.svg/100px-New_England_Patriots_logo.svg.png,2,1,-0.299805252114311,1,6,0,0,0,6,0,0,0,TE,TE,LAC,82,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576854.png,1,0,0,1,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anderson, Stephen",St.Anderson,LAC,KAN,17,6.7,4000,8.2,2600,6.7,10,00-0032725,Active,2020_17_LAC_KC,LAC,KAN,S.Anderson,#002244,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/NFL_Chargers_logo.svg/100px-NFL_Chargers_logo.svg.png,#e31837,https://upload.wikimedia.org/wikipedia/en/thumb/e/e1/Kansas_City_Chiefs_logo.svg/100px-Kansas_City_Chiefs_logo.svg.png,3,3,5.03985481301788,3,52,0,0,0,10,42,0,0,TE,TE,LAC,82,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576854.png,1,1,1,0,0,0,0,1,1,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
