Name,name1,Team,Oppt,week,Points_FD,Salary_FD,Points_DK,Salary_DK,Points_YH,Salary_YH,logo,gsis_id,position.x,depth_chart_position.x,status,headshot_url,headshot_url2,team_logo_wikipedia,logo_def,receiver_player_name,nopass,noplays,yards_gained,yards_passing,interception,sack,qb_hits,incomplete_pass,complete_pass,yards_receiving,touchdown_pass,yards_after_catch,air_yards,air_yards2,epa_receiver,position.y,depth_chart_position.y,n,rusher_player_name,noruns,touchdown_rush,yards_rushing,epa_rusher
"Alie-Cox, Mo",Mo.Alie-Cox,IND,CLE,5,0,5400,0,4200,0,18,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png' height='12'></img>,00-0033217,TE,RTE,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2998565.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2998565.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/d/d9/Cleveland_Browns_logo.svg/100px-Cleveland_Browns_logo.svg.png' height='12'></img>,M.Alie-Cox,1,1,0,0,1,0,0,0,0,0,0,0,18,0,-3.5332422114443,TE,RTE,1,,,,,
"Alie-Cox, Mo",Mo.Alie-Cox,IND,DET,8,5.2,5000,6.7,3400,5.2,10,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png' height='12'></img>,00-0033217,TE,RTE,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2998565.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2998565.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/7/71/Detroit_Lions_logo.svg/100px-Detroit_Lions_logo.svg.png' height='12'></img>,M.Alie-Cox,4,4,37,37,0,0,0,1,3,37,0,5,29,32,3.36401415604632,TE,RTE,1,,,,,
"Alie-Cox, Mo",Mo.Alie-Cox,IND,HOU,13,3.8,4800,5.3,2700,3.8,11,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png' height='12'></img>,00-0033217,TE,RTE,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2998565.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2998565.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/100px-Houston_Texans_logo.svg.png' height='12'></img>,M.Alie-Cox,5,5,23,23,0,0,1,2,3,23,0,17,30,6,0.118470944464207,TE,RTE,1,,,,,
"Alie-Cox, Mo",Mo.Alie-Cox,IND,JAC,1,3,4000,4,2600,3,10,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png' height='12'></img>,00-0033217,TE,RTE,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2998565.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2998565.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/7/74/Jacksonville_Jaguars_logo.svg/100px-Jacksonville_Jaguars_logo.svg.png' height='12'></img>,M.Alie-Cox,2,2,20,20,0,0,0,0,2,20,0,14,6,6,1.51441049948335,TE,RTE,1,,,,,
"Alie-Cox, Mo",Mo.Alie-Cox,IND,LVR,14,1.4,4600,1.9,2500,1.4,11,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png' height='12'></img>,00-0033217,TE,RTE,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2998565.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2998565.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Las_Vegas_Raiders_logo.svg/100px-Las_Vegas_Raiders_logo.svg.png' height='12'></img>,M.Alie-Cox,1,1,9,9,0,0,0,0,1,9,0,11,-2,-2,0.560027216561139,TE,RTE,1,,,,,
"Alie-Cox, Mo",Mo.Alie-Cox,IND,PIT,16,2.5,4400,3,2500,2.5,10,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png' height='12'></img>,00-0033217,TE,RTE,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2998565.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2998565.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Pittsburgh_Steelers_logo.svg/100px-Pittsburgh_Steelers_logo.svg.png' height='12'></img>,M.Alie-Cox,1,1,20,20,0,0,0,0,1,20,0,16,4,4,1.6742548563052,TE,RTE,1,,,,,
"Alie-Cox, Mo",Mo.Alie-Cox,IND,TEN,10,3.4,5000,4.9,3400,3.4,13,<img src = 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png' height='12'></img>,00-0033217,TE,RTE,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2998565.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2998565.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png,<img src = 'https://raw.githubusercontent.com/guga31bb/nflfastR-data/master/titans.png' height='12'></img>,M.Alie-Cox,4,4,19,19,0,0,0,1,3,19,0,7,12,12,0.130368606303819,TE,RTE,1,,,,,
"Anderson, Stephen",St.Anderson,LAC,DEN,16,6.8,4000,8.8,2500,6.8,10,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/7/72/NFL_Chargers_logo.svg/100px-NFL_Chargers_logo.svg.png' height='12'></img>,00-0032725,TE,TE,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576854.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576854.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/NFL_Chargers_logo.svg/100px-NFL_Chargers_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/4/44/Denver_Broncos_logo.svg/100px-Denver_Broncos_logo.svg.png' height='12'></img>,S.Anderson,6,6,48,48,0,0,1,2,4,48,0,38,23,10,0.628876654081978,TE,TE,1,,,,,
"Anderson, Stephen",St.Anderson,LAC,NWE,13,1.1,4000,1.6,2500,1.1,10,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/7/72/NFL_Chargers_logo.svg/100px-NFL_Chargers_logo.svg.png' height='12'></img>,00-0032725,TE,TE,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576854.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576854.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/NFL_Chargers_logo.svg/100px-NFL_Chargers_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/New_England_Patriots_logo.svg/100px-New_England_Patriots_logo.svg.png' height='12'></img>,S.Anderson,2,2,6,6,0,0,0,1,1,6,0,0,11,6,-0.299805252114311,TE,TE,1,,,,,
"Anderson, Stephen",St.Anderson,LAC,KAN,17,6.7,4000,8.2,2600,6.7,10,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/7/72/NFL_Chargers_logo.svg/100px-NFL_Chargers_logo.svg.png' height='12'></img>,00-0032725,TE,TE,Active,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576854.png,<img src = 'https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576854.png' height='20'></img>,https://upload.wikimedia.org/wikipedia/en/thumb/7/72/NFL_Chargers_logo.svg/100px-NFL_Chargers_logo.svg.png,<img src = 'https://upload.wikimedia.org/wikipedia/en/thumb/e/e1/Kansas_City_Chiefs_logo.svg/100px-Kansas_City_Chiefs_logo.svg.png' height='12'></img>,S.Anderson,3,3,52,52,0,0,0,0,3,52,0,42,10,10,5.03985481301788,TE,TE,1,,,,,
