posteam,week,nodrives,noplays,noruns,nopass,sack,interception,incomplete_pass,complete_pass,notds,touchdown_rush,touchdown_pass,yards_gained,yards_passing,yards_receiving,yards_rushing,yards_after_catch,air_yards2,air_yards,epa,def_nodrives,def_noplays,def_noruns,def_nopass,def_sack,def_interception,def_incomplete_pass,def_complete_pass,def_notds,def_touchdown_rush,def_touchdown_pass,def_yards_gained,def_yards_passing,def_yards_receiving,def_yards_rushing,def_yards_after_catch,def_air_yards2,def_air_yards,def_epa
CHI,9,13,75,20,52,3,0,16,36,3,0,2,375,335,335,56,137,198,320,-12.1591739544716,12,55,31,21,3,0,11,10,2,0,2,228,158,158,92,78,80,215,-6.39912097850112
CHI,10,10,49,17,31,2,1,14,16,0,0,0,149,124,124,41,59,65,231,-21.4444627736796,13,70,33,36,1,1,10,25,2,0,2,385,292,292,99,147,145,296,-2.36310501118329
CHI,12,9,65,16,46,3,2,18,26,4,0,3,350,242,242,121,94,148,400,1.48003114362237,9,68,39,29,0,0,8,21,5,1,4,393,211,211,182,122,89,244,19.2433639765368
CHI,13,11,67,31,34,2,0,8,26,4,3,1,389,267,267,140,150,117,212,6.19132059933109,12,66,22,42,2,1,14,27,5,2,3,460,402,402,60,68,334,571,14.6451124666492
CHI,14,11,59,23,33,3,0,9,24,4,1,3,410,267,267,169,190,77,144,15.4073810468781,11,64,27,30,7,0,9,21,1,0,1,263,219,219,108,122,97,197,-10.4007814815268
CHI,15,10,64,42,21,1,1,5,15,3,2,1,397,202,202,199,99,103,167,8.70837453150022,10,65,28,35,3,1,10,24,3,1,2,407,271,271,158,144,127,206,1.51772240756385
CHI,16,12,70,33,36,1,1,11,24,5,3,2,391,265,265,128,138,127,294,17.5151889273409,11,54,16,37,1,2,11,24,2,0,2,279,211,211,76,69,142,239,-6.94320626011107
CHI,17,9,74,31,42,1,1,8,33,1,1,0,356,252,252,108,123,129,261,-8.62064864252352,7,44,19,24,1,0,5,19,5,1,4,316,240,240,79,154,86,172,21.2069041824434
CIN,1,12,66,28,36,3,1,12,23,1,1,0,295,193,193,122,83,110,291,-14.8252344065013,13,71,39,30,2,0,14,16,1,1,0,362,208,208,155,80,128,335,-6.21882854469013
CIN,2,9,87,24,61,3,0,24,37,3,0,3,353,316,316,68,127,189,486,6.38297982812418,10,58,35,23,0,1,6,16,5,3,2,434,219,219,215,73,146,210,17.7546210279979
