week,posteam,nopass,noplays,touchdown,yards_gained,yards_passing,interception,sack,qb_hits,incomplete_pass,complete_pass,yards_receiving,touchdown_pass,yards_after_catch,air_yards,air_yards2,epa
7,NYJ,21,21,0,120,120,2,0,2,7,12,120,0,39,146,81,-3.88668567154407
7,PHI,41,41,2,359,359,1,0,6,15,25,359,2,115,369,244,12.8589966005819
7,PIT,49,49,2,268,268,3,0,5,14,32,268,2,158,266,110,6.07013584394625
7,SEA,48,48,3,388,388,3,0,6,12,33,388,3,158,432,230,6.50433427884535
7,SFO,25,25,0,277,277,2,0,1,3,20,277,0,184,160,93,17.1967333264908
7,TAM,41,41,4,369,369,0,0,1,8,33,369,4,134,372,235,28.607836988226
7,TEN,30,30,2,220,220,0,0,4,12,18,220,2,108,255,112,8.94951721068804
7,WAS,21,21,2,194,194,0,0,1,6,15,194,2,70,179,124,13.3242660701503
8,ATL,30,30,0,281,281,1,0,3,8,21,281,0,90,258,191,11.6282202785535
8,BAL,26,26,3,208,208,2,0,6,11,13,208,2,77,217,131,-0.591298223531339
8,BUF,18,18,0,154,154,1,0,4,6,11,154,0,83,179,71,0.414758592925341
8,CAR,26,26,1,179,179,1,0,3,9,16,176,1,72,221,104,-2.24404583271351
8,CHI,41,41,2,272,272,1,0,2,12,28,272,2,64,326,208,6.02065718816121
8,CIN,35,35,2,249,249,0,0,1,9,26,249,2,73,235,176,19.2455782575769
8,CLE,25,25,0,122,122,0,0,1,13,12,122,0,74,193,48,-5.91022481094285
8,DAL,38,38,0,180,180,0,0,3,17,21,180,0,120,305,60,-4.75293542168723
8,DEN,38,38,3,248,248,1,0,3,11,26,248,3,115,305,133,6.50324038331907
8,DET,40,40,4,336,336,1,0,3,15,24,336,3,142,370,194,4.83690582530107
8,GNB,38,38,3,291,291,0,0,1,11,27,291,3,125,334,166,12.0869222702459
8,IND,33,33,3,262,262,0,0,2,10,23,262,3,143,227,119,17.9142853062949
8,KAN,47,47,5,446,446,0,0,3,12,35,446,5,213,403,233,30.0141000814619
8,LAC,42,42,3,278,278,2,0,2,11,29,278,3,140,302,138,7.40449230059185
8,LAR,57,57,1,355,355,2,0,7,20,35,355,1,200,358,155,-5.55267160583844
8,LVR,22,22,1,111,111,0,0,0,7,15,111,1,60,140,51,4.86029629965957
8,MIA,22,22,1,93,93,0,0,1,10,12,93,1,47,118,46,-4.57894499221584
8,MIN,14,14,1,160,160,0,0,0,3,11,160,1,131,25,29,13.5262436016346
8,NOR,41,41,2,280,280,0,0,2,10,31,280,2,169,190,111,9.47589677332902
8,NWE,23,23,0,174,174,0,0,3,8,15,174,0,92,135,82,6.27595724428205
8,NYG,41,41,2,274,274,2,0,7,13,26,274,2,140,313,134,8.03863625660401
8,NYJ,28,28,0,133,133,0,0,3,10,18,133,0,74,195,59,-6.43232113579843
8,PHI,26,26,2,132,132,2,0,1,8,16,132,2,32,287,100,-2.86897453846177
8,PIT,32,32,2,182,182,0,0,3,11,21,182,2,93,232,89,3.31070194841595
8,SEA,36,36,4,261,261,0,0,1,9,27,261,4,128,252,133,19.4448990847099
8,SFO,40,40,2,322,322,1,0,5,10,29,322,2,114,293,208,18.4914752800833
8,TAM,40,40,2,279,279,0,0,2,12,28,279,2,94,364,185,10.3017847178152
8,TEN,29,29,2,233,233,1,0,4,10,18,233,2,74,241,159,3.05956324352591
