week,defteam,noruns,nopass,noplays,touchdown,yards_gained,yards_passing,interception,sack,qb_hits,incomplete_pass,complete_pass,yards_receiving,touchdown_rush,touchdown_pass,yards_rushing,yards_after_catch,air_yards,air_yards2,epa
4,MIA,26,34,62,4,441,360,1,2,5,9,24,360,2,2,98,168,305,192,12.428946404761
4,MIN,26,33,62,2,386,300,0,3,4,13,20,300,0,2,96,102,300,198,1.51803419893888
4,NOR,22,31,56,4,281,206,1,3,7,13,17,206,1,3,90,75,325,131,2.64845391747076
4,NWE,25,29,55,2,323,236,0,1,1,10,19,236,0,2,94,152,235,84,2.85534336928427
4,NYG,23,32,57,2,240,200,0,2,5,7,25,200,1,1,58,118,196,82,-5.41706267596196
4,NYJ,32,31,63,5,359,242,3,0,5,9,19,242,2,2,117,60,302,182,-2.08697217285232
4,PHI,20,45,69,4,417,338,2,5,14,11,32,338,2,1,116,168,259,170,-5.11713382782182
4,SEA,22,45,69,1,415,315,2,1,5,14,29,315,1,0,103,139,341,176,3.5073298531316
4,SFO,28,28,59,2,267,193,1,3,9,9,18,193,1,1,93,111,159,82,-5.59392710389992
4,TAM,23,25,50,3,324,290,1,2,6,4,20,290,0,3,46,161,193,129,5.87063287713512
4,WAS,32,23,56,4,350,208,2,1,3,6,15,208,2,2,144,54,363,154,12.461636781829
5,ARI,28,33,64,1,285,195,0,3,6,15,18,195,0,1,123,95,322,100,-8.60954617960283
5,ATL,27,36,63,2,437,313,0,0,4,9,27,313,0,2,124,178,218,135,15.1642438133685
5,BAL,28,30,65,1,205,183,1,7,15,10,19,183,0,0,70,85,220,98,-32.2882112270578
5,BUF,34,28,62,6,334,195,0,0,2,7,21,195,3,3,139,69,181,126,17.8071033797751
5,CAR,24,37,62,1,373,226,1,2,4,15,21,226,1,0,166,84,284,142,3.41961447897212
5,CHI,20,41,64,1,339,253,0,3,8,16,25,253,0,1,106,100,383,153,-0.831128057525932
5,CIN,24,37,62,2,332,180,1,1,6,17,19,180,0,2,161,84,318,96,-4.22934487440005
5,CLE,18,33,52,2,308,243,2,1,5,10,21,243,1,0,68,101,263,142,-2.27330811210952
